srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
2431,'1','16','Centre-left','2','4','2','2','3','3','2','3','2','4.0','3.0','3.0','2.0','5.0','3.0','2.0','3.0','2','2','3','1','1.0','2.0','2.0','2.0','1.0','1.0','1.0','2.0','2.0','3.0','2.0','3.0','3.0','2.0','3.0','4','2.0','2.0','3.0'
557,'2','16','Centre-left','2','2','2','3','2','2','3','3','3','3.0','5.0','3.0','2.0','5.0','2.0','2.0','4.0','4','4','4','4','2.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2','1.0','4.0','1.0'
841,'2','16','Centre-right','3','4','3','3','2','1','2','2','2','7.0','7.0','6.0','5.0','8.0','6.0','4.0','8.0','2','4','4','4','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','5','1.0','3.0','2.0'
545,'4','11','Centre-left','1','1','1','2','2','1','1','1','1','2.0','2.0','2.0','1.0','1.0','2.0','1.0','4.0','2','2','1','1','2.0','3.0','2.0','3.0','1.0','2.0','3.0','3.0','3.0','2.0','2.0','3.0','4.0','4.0','4.0','2','1.0','3.0','2.0'
694,'2','1','Centre-left','3','4','3','3','2','3','3','3','3','6.0','6.0','4.0','3.0','6.0','4.0','4.0','6.0','4','4','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','4','2.0','3.0','1.0'
114,'2','1','Centre-left','4','4','4','3','2','2','3','3','2','8.0','8.0','5.0','3.0','7.0','4.0','3.0','8.0','2','4','2','2','-98.0','-98.0','-98.0','-98.0','-98.0','3.0','-98.0','-98.0','-98.0','-98.0','2.0','-98.0','-98.0','3.0','-98.0','4','2.0','4.0','3.0'
351,'4','13','Centre-right','5','4','2','1','3','4','2','4','2','5.0','6.0','7.0','1.0','10.0','1.0','1.0','10.0','4','5','5','2','3.0','3.0','3.0','4.0','2.0','3.0','2.0','1.0','3.0','2.0','-98.0','3.0','3.0','3.0','3.0','4','1.0','4.0','2.0'
1976,'4','19','Centre-right','4','2','2','2','2','2','1','1','2','6.0','5.0','4.0','1.0','3.0','3.0','2.0','7.0','4','4','4','2','2.0','2.0','2.0','1.0','1.0','3.0','1.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','3.0','3','2.0','2.0','1.0'
1790,'4','16','Right-wing','4','4','2','1','1','1','1','1','1','1.0','1.0','3.0','1.0','1.0','4.0','1.0','2.0','1','4','2','1','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','4.0','1','1.0','2.0','2.0'
1185,'2','-98','Centre-left','4','2','3','1','3','3','2','3','1','8.0','7.0','7.0','4.0','8.0','2.0','5.0','8.0','4','5','4','1','3.0','3.0','1.0','4.0','1.0','3.0','4.0','3.0','1.0','3.0','2.0','3.0','3.0','3.0','3.0','2','2.0','1.0','1.0'
2330,'2','8','Centre-left','4','2','4','4','2','2','3','3','2','7.0','7.0','8.0','4.0','7.0','1.0','5.0','7.0','4','4','4','2','3.0','2.0','2.0','3.0','2.0','3.0','3.0','2.0','1.0','3.0','1.0','3.0','3.0','2.0','3.0','2','1.0','3.0','3.0'
167,'2','11','Centre-left','3','2','3','2','2','2','2','2','2','4.0','4.0','5.0','1.0','5.0','7.0','7.0','7.0','2','2','4','2','3.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3.0','2.0','2.0','3.0','3.0','3.0','2.0','1','1.0','4.0','1.0'
229,'2','8','Green','2','2','2','1','3','3','1','2','1','3.0','4.0','2.0','1.0','5.0','2.0','1.0','7.0','2','2','2','4','1.0','1.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','2','1.0','3.0','1.0'
296,'4','1','No-party','3','5','3','2','2','2','3','2','2','8.0','8.0','8.0','3.0','8.0','7.0','3.0','8.0','1','5','5','1','3.0','4.0','4.0','4.0','4.0','4.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2','2.0','2.0','3.0'
2107,'2','11','Centre-left','4','3','3','3','2','1','1','1','1','6.0','8.0','6.0','2.0','7.0','7.0','6.0','8.0','4','2','4','4','3.0','2.0','3.0','3.0','2.0','2.0','2.0','1.0','3.0','3.0','2.0','3.0','2.0','3.0','3.0','6','1.0','2.0','1.0'
