srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
1014,'2','6','Centre-right','5','5','5','5','1','1','1','1','1','9.0','9.0','7.0','6.0','7.0','7.0','8.0','9.0','2','1','2','2','2.0','2.0','2.0','3.0','5','2.0','3.0','3.0'
2490,'2','26','Centre-right','2','1','2','2','1','1','2','3','1','5.0','4.0','4.0','1.0','8.0','3.0','2.0','8.0','2','2','4','2','1.0','3.0','1.0','3.0','6','2.0','2.0','1.0'
553,'2','17','Centre-left','3','4','3','2','2','2','2','3','3','7.0','7.0','8.0','5.0','5.0','1.0','5.0','8.0','4','4','4','4','2.0','1.0','2.0','2.0','2','2.0','1.0','1.0'
1946,'2','19','Green','3','3','3','2','2','3','2','2','1','7.0','7.0','8.0','3.0','8.0','4.0','5.0','8.0','4','4','4','4','3.0','2.0','3.0','3.0','2','2.0','2.0','1.0'
577,'4','11','Centre-left','5','5','2','5','2','1','3','3','1','6.0','5.0','3.0','1.0','3.0','3.0','2.0','10.0','2','2','4','2','2.0','3.0','3.0','2.0','1','1.0','3.0','1.0'
1488,'1','11','Centre-left','1','2','2','2','1','1','1','2','1','7.0','4.0','1.0','3.0','8.0','1.0','2.0','8.0','2','1','1','2','2.0','3.0','1.0','3.0','1','1.0','4.0','1.0'
403,'4','2','Green','2','2','1','3','2','2','3','2','3','5.0','5.0','4.0','1.0','4.0','2.0','2.0','6.0','5','4','4','4','2.0','2.0','3.0','3.0','3','2.0','2.0','2.0'
1767,'1','13','Centre-right','3','3','3','3','3','3','2','3','3','8.0','6.0','6.0','1.0','6.0','6.0','1.0','8.0','4','4','4','4','3.0','1.0','4.0','2.0','6','1.0','4.0','2.0'
2187,'2','1','No-party','3','2','2','2','3','2','3','3','2','4.0','4.0','7.0','5.0','6.0','5.0','7.0','5.0','2','2','2','4','2.0','3.0','2.0','3.0','2','2.0','2.0','1.0'
1620,'2','19','Centre-right','4','4','2','2','4','3','2','1','2','6.0','6.0','5.0','2.0','3.0','5.0','8.0','7.0','4','4','2','4','2.0','1.0','3.0','1.0','2','1.0','2.0','2.0'
